name,year,pop
Sapporo,1995,1757025.0
Sapporo,2000,1822368.0
Sapporo,2005,1880863.0
Sapporo,2010,1913545.0
Sapporo,2015,1952356.0
Sasebo,1995,279551.0
Sasebo,2000,274399.0
Sasebo,2005,269574.0
Sasebo,2010,261101.0
Sasebo,2015,255439.0
Sayama,1995,162240.0
Sayama,2000,161460.0
Sayama,2005,158074.0
Sayama,2010,155727.0
Sayama,2015,152405.0
Sendai,1995,971297.0
Sendai,2000,1008130.0
Sendai,2005,1025126.0
Sendai,2010,1045986.0
Sendai,2015,1082159.0
Shimonoseki,1995,310717.0
Shimonoseki,2000,301097.0
Shimonoseki,2005,290693.0
Shimonoseki,2010,280947.0
Shimonoseki,2015,268517.0
Shizuoka,1995,738674.0
Shizuoka,2000,729980.0
Shizuoka,2005,723323.0
Shizuoka,2010,716197.0
Shizuoka,2015,704989.0
S?ka,1995,217930.0
S?ka,2000,225018.0
S?ka,2005,236316.0
S?ka,2010,243855.0
S?ka,2015,247034.0
Suita,1995,342760.0
Suita,2000,347929.0
Suita,2005,353885.0
Suita,2010,355798.0
Suita,2015,374468.0
Suzuka,1995,179800.0
Suzuka,2000,186151.0
Suzuka,2005,193114.0
Suzuka,2010,199293.0
Suzuka,2015,196403.0
Tachikawa,1995,157884.0
Tachikawa,2000,164709.0
Tachikawa,2005,172566.0
Tachikawa,2010,179668.0
Tachikawa,2015,176295.0
Takamatsu,1995,412626.0
Takamatsu,2000,416680.0
Takamatsu,2005,418125.0
Takamatsu,2010,419429.0
Takamatsu,2015,420748.0
Takaoka,1995,186827.0
Takaoka,2000,185682.0
Takaoka,2005,181229.0
Takaoka,2010,176061.0
Takaoka,2015,172125.0
Takarazuka,1995,202544.0
Takarazuka,2000,213037.0
Takarazuka,2005,219862.0
Takarazuka,2010,225700.0
Takarazuka,2015,224903.0
Takasaki,1995,353879.0
Takasaki,2000,358465.0
Takasaki,2005,364919.0
Takasaki,2010,371302.0
Takasaki,2015,370884.0
Takatsuki,1995,362270.0
Takatsuki,2000,357438.0
Takatsuki,2005,351826.0
Takatsuki,2010,357359.0
Takatsuki,2015,351829.0
Tochigi,1995,174305.0
Tochigi,2000,171755.0
Tochigi,2005,168763.0
Tochigi,2010,164024.0
Tochigi,2015,159211.0
Tokorozawa,1995,320406.0
Tokorozawa,2000,330100.0
Tokorozawa,2005,336100.0
Tokorozawa,2010,341924.0
Tokorozawa,2015,340386.0
Tokushima,1995,268706.0
Tokushima,2000,268218.0
Tokushima,2005,267833.0
Tokushima,2010,264548.0
Tokushima,2015,258554.0
T?ky? [Tokyo],1995,7967614.0
T?ky? [Tokyo],2000,8134688.0
T?ky? [Tokyo],2005,8489653.0
T?ky? [Tokyo],2010,8945695.0
T?ky? [Tokyo],2015,9272740.0
Tomakomai,1995,169328.0
Tomakomai,2000,172086.0
Tomakomai,2005,172758.0
Tomakomai,2010,173320.0
Tomakomai,2015,172737.0
Tottori,1995,197959.0
Tottori,2000,200744.0
Tottori,2005,201740.0
Tottori,2010,197449.0
Tottori,2015,193717.0
Toyama,1995,417595.0
Toyama,2000,420804.0
Toyama,2005,421239.0
Toyama,2010,421953.0
Toyama,2015,418686.0
Toyohashi,1995,352982.0
Toyohashi,2000,364856.0
Toyohashi,2005,372479.0
Toyohashi,2010,376665.0
Toyohashi,2015,374765.0
Toyokawa,1995,172509.0
Toyokawa,2000,176698.0
Toyokawa,2005,181444.0
Toyokawa,2010,181928.0
Toyokawa,2015,182436.0
Toyonaka,1995,398908.0
Toyonaka,2000,391726.0
Toyonaka,2005,386623.0
Toyonaka,2010,389341.0
Toyonaka,2015,395479.0
Toyota,1995,383800.0
Toyota,2000,395224.0
Toyota,2005,412141.0
Toyota,2010,421487.0
Toyota,2015,422542.0
Tsu,1995,286519.0
Tsu,2000,286521.0
Tsu,2005,288538.0
Tsu,2010,285746.0
Tsu,2015,279886.0
Tsukuba,1995,182327.0
Tsukuba,2000,191814.0
Tsukuba,2005,200528.0
Tsukuba,2010,214590.0
Tsukuba,2015,226963.0
Ube,1995,182771.0
Ube,2000,182031.0
Ube,2005,178955.0
Ube,2010,173772.0
Ube,2015,169429.0
Ueda,1995,164207.0
Ueda,2000,166568.0
Ueda,2005,163651.0
Ueda,2010,159597.0
Ueda,2015,156827.0
Uji,1995,184830.0
Uji,2000,189112.0
Uji,2005,189591.0
Uji,2010,189609.0
Uji,2015,184678.0
Urayasu,1995,123654.0
Urayasu,2000,132984.0
Urayasu,2005,155290.0
Urayasu,2010,164877.0
Urayasu,2015,164024.0
Utsunomiya,1995,477215.0
Utsunomiya,2000,487560.0
Utsunomiya,2005,502396.0
Utsunomiya,2010,511739.0
Utsunomiya,2015,518594.0
Wakayama,1995,393885.0
Wakayama,2000,386551.0
Wakayama,2005,375591.0
Wakayama,2010,370364.0
Wakayama,2015,364154.0
Yachiyo,1995,154509.0
Yachiyo,2000,168848.0
Yachiyo,2005,180729.0
Yachiyo,2010,189781.0
Yachiyo,2015,193152.0
Yamagata,1995,254488.0
Yamagata,2000,255369.0
Yamagata,2005,256012.0
Yamagata,2010,254244.0
Yamagata,2015,253832.0
Yamaguchi,1995,193172.0
Yamaguchi,2000,197115.0
Yamaguchi,2005,199297.0
Yamaguchi,2010,196628.0
Yamaguchi,2015,197422.0
Yamato,1995,203933.0
Yamato,2000,212761.0
Yamato,2005,221220.0
Yamato,2010,228186.0
Yamato,2015,232922.0
Yao,1995,276664.0
Yao,2000,274777.0
Yao,2005,273487.0
Yao,2010,271460.0
Yao,2015,268800.0
Yokkaichi,1995,296623.0
Yokkaichi,2000,302102.0
Yokkaichi,2005,303845.0
Yokkaichi,2010,307766.0
Yokkaichi,2015,311031.0
Yokohama,1995,3307136.0
Yokohama,2000,3426651.0
Yokohama,2005,3579628.0
Yokohama,2010,3688773.0
Yokohama,2015,3724844.0
Yokosuka,1995,432193.0
Yokosuka,2000,428645.0
Yokosuka,2005,426178.0
Yokosuka,2010,418325.0
Yokosuka,2015,406586.0
